[ALERT] Time: 1745426796296 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797563 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797629 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797698 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797698 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797763 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797763 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797829 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797829 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797882 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797948 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797948 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426797948 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798014 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798079 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798079 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798079 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798134 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798134 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798195 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798195 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798262 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798262 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798329 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798329 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798380 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798447 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798447 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798513 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798568 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798568 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798568 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798629 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798696 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798829 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798881 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426798946 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799012 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799012 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799081 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799081 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799147 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799214 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799278 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799347 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799479 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799546 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799612 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799667 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799667 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799730 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799797 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426799927 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800061 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800114 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800179 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800245 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800313 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800313 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800428 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800561 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800561 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800614 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800614 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800614 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800614 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800680 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800680 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800745 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800745 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800812 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800812 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800862 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800930 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426800995 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801061 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801243 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801312 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801378 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801445 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801511 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801578 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801760 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801828 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426801894 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802027 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802027 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802096 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802161 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802359 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802359 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802413 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802543 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802609 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802789 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802860 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802911 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802911 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802911 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802911 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426802978 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803043 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803109 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803109 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803160 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803160 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803160 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803228 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803228 | Sensor: 5 | Type: Isolated High Spike | Temp: 76.962860 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803294 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803426 | Sensor: 7 | Type: Isolated High Spike | Temp: 78.233238 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803426 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803493 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426803559 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426804140 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426804191 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426804260 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426804575 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426804639 | Sensor: 12 | Type: Isolated High Spike | Temp: 75.230255 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426805026 | Sensor: 9 | Type: Isolated High Spike | Temp: 80.390091 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426805218 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
[ALERT] Time: 1745426805276 | Sensor: 15 | Type: Isolated High Spike | Temp: 78.756332 C [Note] Neighboring sensors are normal.
